"ORIG_RT","ORIG_AMT","ORIG_TRM","OLTV","OCLTV","NUM_BO","DTI","CSCORE_B","NUM_UNIT","LAST_RT","Loan.Age","Adj.Month.To.Mat","CSCORE_MN","loan_month","first_month","cluster"
4.375,12.1441972418121,6,75,75,2,42,702,1,4.375,0.266666666666667,172,670,184,2,1
6.875,11.8493977015914,12,77,77,1,43,714,1,6.875,-0.0333333333333333,360,714,366,2,4
4.5,12.2548628096996,12,75,75,2,30,733,1,4.5,0.333333333333333,350,699,366,2,2
2.875,12.614865543731,6,73,73,1,22,786,1,2.875,0.166666666666667,175,786,184,2,1
4.625,11.0821425488778,6,76,76,1,9,707,1,4.625,0.0333333333333333,178,707,184,2,1
6,11.5991031612113,6,70,70,1,20,785,1,6,0.3,171,785,184,2,1
5.875,11.7519423654407,6,76,76,2,27,683,1,5.875,0.366666666666667,168,673,184,2,1
5.75,11.1272629841582,6,38,38,1,52,663,1,5.75,0.2,174,663,184,2,5
4.375,12.4090134895269,4,44,44,2,15,751,1,4.375,0.233333333333333,113,751,124,3,1
6.875,10.8197782844103,4,90,90,2,32,653,1,6.875,0.3,111,653,123,2,1
6.25,12.9141084385839,12,95,95,2,30,671,1,6.25,0.233333333333333,352,671,366,2,2
6.375,12.4799093111599,12,78,78,3,29,763,1,6.375,0.166666666666667,356,763,366,2,3
6.375,12.4760997827432,12,72,72,1,11,742,1,6.375,0.133333333333333,355,742,366,2,4
3.25,11.3022044336546,6,50,50,1,43,793,1,3.25,0.266666666666667,172,793,185,3,1
5.875,12.8992198260901,12,63,63,2,51,758,1,5.875,0.366666666666667,349,748,366,2,2
8,11.7360690162844,12,56,56,2,28,638,1,8,0.4,348,638,365,1,3
5.5,12.0435537160324,12,59,59,1,31,625,1,5.5,0.2,354,625,366,2,4
4.25,10.7144177687525,12,79,79,1,47,786,1,4.25,0.233333333333333,225,786,366,2,4
5.875,12.4837043821285,10.8,68,81,2,45,733,1,5.875,0.133333333333333,319,733,331,3,2
